,id,texto,Re_tweet
74,74,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
75,75,@nandomtts @s @santander_br @Bradesco @itau @bancosafra @BancodoBrasil @bancopan @BancoOriginal @FEBRABAN @Banrisul Bancos querem greve! Fenaban apresentou proposta final com perdas já recusada pela categoria e agora querem impor mais perdas em 2023. Comando está reunido neste momento para organizar e mobilizar o movimento para a luta. #AgoraÉGreve!,N
76,76,"Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasil  @bancopan @BancoOriginal @FEBRABAN @Banrisul https://t.co/3sBrIP5LRA",N
77,77,"Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasil  @bancopan @BancoOriginal @FEBRABAN @Banrisul https://t.co/sd3PgI66ux",N
78,78,"RT @nandomtts: Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasi…",S
79,79,"Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasil  @bancopan @BancoOriginal @FEBRABAN @Banrisul https://t.co/IqQeeqtIq2",N
80,80,"Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasil  @bancopan @BancoOriginal @FEBRABAN @Banrisul https://t.co/aJtIvYS3n6",N
81,81,"Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasil  @bancopan @BancoOriginal @FEBRABAN @Banrisul https://t.co/4J8T67Sj27",N
82,82,"Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasil  @bancopan @BancoOriginal @FEBRABAN @Banrisul https://t.co/RFvsPlBrk8",N
83,83,"Não aceitarmos desrespeito contra @s trabalhadorxs. 

#AgoraÉGreve
@santander_br @Bradesco  @itau @bancosafra  @BancodoBrasil  @bancopan @BancoOriginal @FEBRABAN @Banrisul https://t.co/EF8VScyaiV",N
84,84,"@bancopan Em vez de fazer jogos, vocês deveriam resolver o meu problema. Com o pagamento da minha fatura do cartão, que não foi registrado.",N
85,85,"@bancopan Nao sei o que DM….
O fato é que continuam ligando  no celular!
O que preciso fazer para deixar de ser importunado?",N
86,86,"@bancopan GOSTARIA DE SABER COMO VOU PAGAR O BOLETO GERADO PELO SISTEMA!! AI SÓ EM 5 DIAS UTEIS PARA CONSEGUI NOVA IMPRESSÃO!!! ESTÃO DE PARABÉNS ASSIM ESTA FACIL GANHAR COM OS JUROS GERADOS!!
#BANCOPANLIXO https://t.co/5ad7nju5jI",N
87,87,"@bancopan vcs só me iludem, passam dias oferecendo empréstimo, dava erro toda vezes que tentava concluir pelo app e agora some a "" oferta """,N
88,88,@bancopan Italia,N
89,89,@bancopan Kakakak eu venderia pra pagar as contas.🤣🤣🤣,N
90,90,@bancopan Inglaterra.,N
91,91,A dificuldade pra falar com atendente do @bancopan pra contestar uma compra no cartão é surreal. Não indico a ninguém.,N
92,92,@bancopan @bancopan roubaram a porra do meu dinheiro!!,N
93,93,"@bancopan decidiram não aceitar a mesma senha que eu usava pra entrar no app dizendo que a senha está errada, sendo que nunca mudei. coloco p mudar a senha e falam q vão mandar codigo no email e estou a 2hrs esperando a porra do codigo
simplesmente me ROUBARAM filhos da puta",N
94,94,"@bancopan eu quero q vcs vão pra casa do caralho
abri essa porra dessa conta pq tinham me mandado uma PROPOSTA de cartao de credito, quando abri não tinha porra de crédito nenhum
ai quando decido usar essa merda e transfiro algum dinheiro, decidem não aceitar mais a senha",N
95,95,Tô muito puto com o @bancopan,N
96,96,"@bancopan  assim é fácil ganhar juros !!! deixa o sistema fora do ar para ao chamar o chat pagar 3 dias após a data escolhida !!!
#bancopanlixo",N
97,97,"Alguém sabe algum contato do @bancopan  que atenda ?
Fizeram um cartão consignado pra minha tia de 60 anos e tão descontando do benefício dela 🙄",N
98,98,"Há dias eu estou tentando entrar em contato com algum atendente do Banco Pan e simplesmente não consigo. Ai você apela para as redes sociais e eles fazem você engolir uma conversinha de que alguém vai entrar em contato com você, e ninguém nunca entra. Fujam do @bancopan",N
99,99,"Eu com a camisa do @bancopan no busão (que ganhei do @domingao ) o povo perguntando onde ficava a agência 

Quero meu dinheiro do publi 🗣🗣🗣",N
